Course_Name,Course_ID,Attempt_ID,Candidate_Name,Candidate_Email,Mark,Grade,Skill_Status,Recommended_Course,Previous_Mark,Mark_Change,Improvement_Status,Performance_Category
Python,C101,1,Anjali 58,anjali58@gmail.com,72,B,Strength,No Course Required,,,First Attempt,Medium Performer
Python,C101,2,Anjali 58,anjali58@gmail.com,72,B,Strength,No Course Required,72.0,0.0,No Change,Medium Performer
SQL,C102,1,Anjali 58,anjali58@gmail.com,39,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
Data Analytics,C105,1,Anjali 58,anjali58@gmail.com,52,C,Average,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,2,Anjali 58,anjali58@gmail.com,61,C,Average,No Course Required,52.0,9.0,Improving,Medium Performer
SQL,C102,1,Anjali 8,anjali8@gmail.com,29,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
Java,C103,1,Anjali 8,anjali8@gmail.com,32,F,Weakness,Java Programming Basics,,,First Attempt,Poor Performer
Data Analytics,C105,1,Anjali 8,anjali8@gmail.com,76,B,Strength,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,2,Anjali 8,anjali8@gmail.com,79,B,Strength,No Course Required,76.0,3.0,Improving,Medium Performer
Python,C101,1,Arun 1,arun1@gmail.com,53,C,Average,No Course Required,,,First Attempt,Medium Performer
Java,C103,1,Arun 1,arun1@gmail.com,94,A,Strength,No Course Required,,,First Attempt,High Performer
Java,C103,2,Arun 1,arun1@gmail.com,91,A,Strength,No Course Required,94.0,-3.0,Declining,High Performer
Data Analytics,C105,1,Arun 1,arun1@gmail.com,38,F,Weakness,Data Analytics Fundamentals,,,First Attempt,Poor Performer
Python,C101,1,Arun 51,arun51@gmail.com,44,D,Weakness,Python Basics and Problem Solving,,,First Attempt,Poor Performer
SQL,C102,1,Arun 51,arun51@gmail.com,33,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
SQL,C102,2,Arun 51,arun51@gmail.com,41,D,Weakness,SQL Fundamentals and Query Practice,33.0,8.0,Improving,Poor Performer
Data Analytics,C105,1,Arun 51,arun51@gmail.com,94,A,Strength,No Course Required,,,First Attempt,High Performer
SQL,C102,1,Ashwin 33,ashwin33@gmail.com,39,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
SQL,C102,2,Ashwin 33,ashwin33@gmail.com,36,F,Weakness,SQL Fundamentals and Query Practice,39.0,-3.0,Declining,Poor Performer
Java,C103,1,Ashwin 33,ashwin33@gmail.com,79,B,Strength,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,1,Ashwin 33,ashwin33@gmail.com,44,D,Weakness,Data Analytics Fundamentals,,,First Attempt,Poor Performer
Data Analytics,C105,2,Ashwin 33,ashwin33@gmail.com,56,C,Average,No Course Required,44.0,12.0,Improving,Medium Performer
Data Analytics,C105,3,Ashwin 33,ashwin33@gmail.com,36,F,Weakness,Data Analytics Fundamentals,56.0,-20.0,Declining,Poor Performer
SQL,C102,1,Ashwin 83,ashwin83@gmail.com,61,C,Average,No Course Required,,,First Attempt,Medium Performer
Java,C103,1,Ashwin 83,ashwin83@gmail.com,87,A,Strength,No Course Required,,,First Attempt,High Performer
Aptitude,C104,1,Ashwin 83,ashwin83@gmail.com,55,C,Average,No Course Required,,,First Attempt,Medium Performer
Python,C101,1,Bala 35,bala35@gmail.com,77,B,Strength,No Course Required,,,First Attempt,Medium Performer
Python,C101,2,Bala 35,bala35@gmail.com,91,A,Strength,No Course Required,77.0,14.0,Improving,High Performer
Python,C101,3,Bala 35,bala35@gmail.com,100,A,Strength,No Course Required,91.0,9.0,Improving,High Performer
Java,C103,1,Bala 35,bala35@gmail.com,55,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,1,Bala 35,bala35@gmail.com,47,D,Weakness,Quantitative Aptitude Practice,,,First Attempt,Poor Performer
Aptitude,C104,2,Bala 35,bala35@gmail.com,55,C,Average,No Course Required,47.0,8.0,Improving,Medium Performer
Aptitude,C104,3,Bala 35,bala35@gmail.com,37,F,Weakness,Quantitative Aptitude Practice,55.0,-18.0,Declining,Poor Performer
SQL,C102,1,Bala 85,bala85@gmail.com,59,C,Average,No Course Required,,,First Attempt,Medium Performer
Java,C103,1,Bala 85,bala85@gmail.com,56,C,Average,No Course Required,,,First Attempt,Medium Performer
Java,C103,2,Bala 85,bala85@gmail.com,65,C,Average,No Course Required,56.0,9.0,Improving,Medium Performer
Java,C103,3,Bala 85,bala85@gmail.com,80,A,Strength,No Course Required,65.0,15.0,Improving,High Performer
Aptitude,C104,1,Bala 85,bala85@gmail.com,86,A,Strength,No Course Required,,,First Attempt,High Performer
Python,C101,1,Bhavya 48,bhavya48@gmail.com,84,A,Strength,No Course Required,,,First Attempt,High Performer
SQL,C102,1,Bhavya 48,bhavya48@gmail.com,65,C,Average,No Course Required,,,First Attempt,Medium Performer
SQL,C102,2,Bhavya 48,bhavya48@gmail.com,74,B,Strength,No Course Required,65.0,9.0,Improving,Medium Performer
Data Analytics,C105,1,Bhavya 48,bhavya48@gmail.com,89,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,2,Bhavya 48,bhavya48@gmail.com,97,A,Strength,No Course Required,89.0,8.0,Improving,High Performer
Python,C101,1,Bhavya 98,bhavya98@gmail.com,61,C,Average,No Course Required,,,First Attempt,Medium Performer
Java,C103,1,Bhavya 98,bhavya98@gmail.com,31,F,Weakness,Java Programming Basics,,,First Attempt,Poor Performer
Java,C103,2,Bhavya 98,bhavya98@gmail.com,45,D,Weakness,Java Programming Basics,31.0,14.0,Improving,Poor Performer
Java,C103,3,Bhavya 98,bhavya98@gmail.com,67,C,Average,No Course Required,45.0,22.0,Improving,Medium Performer
Data Analytics,C105,1,Bhavya 98,bhavya98@gmail.com,54,C,Average,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,2,Bhavya 98,bhavya98@gmail.com,68,C,Average,No Course Required,54.0,14.0,Improving,Medium Performer
Python,C101,1,Deepika 20,deepika20@gmail.com,31,F,Weakness,Python Basics and Problem Solving,,,First Attempt,Poor Performer
Aptitude,C104,1,Deepika 20,deepika20@gmail.com,80,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,1,Deepika 20,deepika20@gmail.com,77,B,Strength,No Course Required,,,First Attempt,Medium Performer
Python,C101,1,Deepika 70,deepika70@gmail.com,85,A,Strength,No Course Required,,,First Attempt,High Performer
Python,C101,2,Deepika 70,deepika70@gmail.com,95,A,Strength,No Course Required,85.0,10.0,Improving,High Performer
SQL,C102,1,Deepika 70,deepika70@gmail.com,95,A,Strength,No Course Required,,,First Attempt,High Performer
SQL,C102,2,Deepika 70,deepika70@gmail.com,99,A,Strength,No Course Required,95.0,4.0,Improving,High Performer
SQL,C102,3,Deepika 70,deepika70@gmail.com,100,A,Strength,No Course Required,99.0,1.0,Improving,High Performer
Java,C103,1,Deepika 70,deepika70@gmail.com,87,A,Strength,No Course Required,,,First Attempt,High Performer
Java,C103,2,Deepika 70,deepika70@gmail.com,85,A,Strength,No Course Required,87.0,-2.0,Declining,High Performer
Java,C103,3,Deepika 70,deepika70@gmail.com,77,B,Strength,No Course Required,85.0,-8.0,Declining,Medium Performer
Python,C101,1,Dinesh 25,dinesh25@gmail.com,89,A,Strength,No Course Required,,,First Attempt,High Performer
Python,C101,2,Dinesh 25,dinesh25@gmail.com,100,A,Strength,No Course Required,89.0,11.0,Improving,High Performer
Java,C103,1,Dinesh 25,dinesh25@gmail.com,90,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,1,Dinesh 25,dinesh25@gmail.com,31,F,Weakness,Data Analytics Fundamentals,,,First Attempt,Poor Performer
SQL,C102,1,Dinesh 75,dinesh75@gmail.com,58,C,Average,No Course Required,,,First Attempt,Medium Performer
SQL,C102,2,Dinesh 75,dinesh75@gmail.com,73,B,Strength,No Course Required,58.0,15.0,Improving,Medium Performer
Aptitude,C104,1,Dinesh 75,dinesh75@gmail.com,61,C,Average,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,1,Dinesh 75,dinesh75@gmail.com,83,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,2,Dinesh 75,dinesh75@gmail.com,80,A,Strength,No Course Required,83.0,-3.0,Declining,High Performer
SQL,C102,1,Divya 4,divya4@gmail.com,73,B,Strength,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,1,Divya 4,divya4@gmail.com,30,F,Weakness,Quantitative Aptitude Practice,,,First Attempt,Poor Performer
Aptitude,C104,2,Divya 4,divya4@gmail.com,48,D,Weakness,Quantitative Aptitude Practice,30.0,18.0,Improving,Poor Performer
Data Analytics,C105,1,Divya 4,divya4@gmail.com,69,C,Average,No Course Required,,,First Attempt,Medium Performer
Python,C101,1,Divya 54,divya54@gmail.com,84,A,Strength,No Course Required,,,First Attempt,High Performer
Python,C101,2,Divya 54,divya54@gmail.com,83,A,Strength,No Course Required,84.0,-1.0,Declining,High Performer
SQL,C102,1,Divya 54,divya54@gmail.com,93,A,Strength,No Course Required,,,First Attempt,High Performer
SQL,C102,2,Divya 54,divya54@gmail.com,88,A,Strength,No Course Required,93.0,-5.0,Declining,High Performer
SQL,C102,3,Divya 54,divya54@gmail.com,100,A,Strength,No Course Required,88.0,12.0,Improving,High Performer
Aptitude,C104,1,Divya 54,divya54@gmail.com,76,B,Strength,No Course Required,,,First Attempt,Medium Performer
Python,C101,1,Ganesh 49,ganesh49@gmail.com,60,C,Average,No Course Required,,,First Attempt,Medium Performer
Python,C101,2,Ganesh 49,ganesh49@gmail.com,71,B,Strength,No Course Required,60.0,11.0,Improving,Medium Performer
Aptitude,C104,1,Ganesh 49,ganesh49@gmail.com,56,C,Average,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,1,Ganesh 49,ganesh49@gmail.com,85,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,2,Ganesh 49,ganesh49@gmail.com,94,A,Strength,No Course Required,85.0,9.0,Improving,High Performer
SQL,C102,1,Ganesh 99,ganesh99@gmail.com,42,D,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
SQL,C102,2,Ganesh 99,ganesh99@gmail.com,57,C,Average,No Course Required,42.0,15.0,Improving,Medium Performer
Java,C103,1,Ganesh 99,ganesh99@gmail.com,57,C,Average,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,1,Ganesh 99,ganesh99@gmail.com,30,F,Weakness,Data Analytics Fundamentals,,,First Attempt,Poor Performer
SQL,C102,1,Gayathri 38,gayathri38@gmail.com,28,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
Java,C103,1,Gayathri 38,gayathri38@gmail.com,93,A,Strength,No Course Required,,,First Attempt,High Performer
Aptitude,C104,1,Gayathri 38,gayathri38@gmail.com,60,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,2,Gayathri 38,gayathri38@gmail.com,66,C,Average,No Course Required,60.0,6.0,Improving,Medium Performer
Aptitude,C104,3,Gayathri 38,gayathri38@gmail.com,90,A,Strength,No Course Required,66.0,24.0,Improving,High Performer
SQL,C102,1,Gayathri 88,gayathri88@gmail.com,85,A,Strength,No Course Required,,,First Attempt,High Performer
Aptitude,C104,1,Gayathri 88,gayathri88@gmail.com,54,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,2,Gayathri 88,gayathri88@gmail.com,62,C,Average,No Course Required,54.0,8.0,Improving,Medium Performer
Data Analytics,C105,1,Gayathri 88,gayathri88@gmail.com,49,D,Weakness,Data Analytics Fundamentals,,,First Attempt,Poor Performer
Data Analytics,C105,2,Gayathri 88,gayathri88@gmail.com,66,C,Average,No Course Required,49.0,17.0,Improving,Medium Performer
Data Analytics,C105,3,Gayathri 88,gayathri88@gmail.com,53,C,Average,No Course Required,66.0,-13.0,Declining,Medium Performer
SQL,C102,1,Gokul 31,gokul31@gmail.com,51,C,Average,No Course Required,,,First Attempt,Medium Performer
SQL,C102,2,Gokul 31,gokul31@gmail.com,67,C,Average,No Course Required,51.0,16.0,Improving,Medium Performer
Aptitude,C104,1,Gokul 31,gokul31@gmail.com,58,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,2,Gokul 31,gokul31@gmail.com,69,C,Average,No Course Required,58.0,11.0,Improving,Medium Performer
Data Analytics,C105,1,Gokul 31,gokul31@gmail.com,51,C,Average,No Course Required,,,First Attempt,Medium Performer
Python,C101,1,Gokul 81,gokul81@gmail.com,76,B,Strength,No Course Required,,,First Attempt,Medium Performer
SQL,C102,1,Gokul 81,gokul81@gmail.com,25,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
SQL,C102,2,Gokul 81,gokul81@gmail.com,41,D,Weakness,SQL Fundamentals and Query Practice,25.0,16.0,Improving,Poor Performer
SQL,C102,3,Gokul 81,gokul81@gmail.com,49,D,Weakness,SQL Fundamentals and Query Practice,41.0,8.0,Improving,Poor Performer
Data Analytics,C105,1,Gokul 81,gokul81@gmail.com,57,C,Average,No Course Required,,,First Attempt,Medium Performer
SQL,C102,1,Harini 46,harini46@gmail.com,34,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
SQL,C102,2,Harini 46,harini46@gmail.com,43,D,Weakness,SQL Fundamentals and Query Practice,34.0,9.0,Improving,Poor Performer
Java,C103,1,Harini 46,harini46@gmail.com,74,B,Strength,No Course Required,,,First Attempt,Medium Performer
Java,C103,2,Harini 46,harini46@gmail.com,84,A,Strength,No Course Required,74.0,10.0,Improving,High Performer
Aptitude,C104,1,Harini 46,harini46@gmail.com,49,D,Weakness,Quantitative Aptitude Practice,,,First Attempt,Poor Performer
Python,C101,1,Harini 96,harini96@gmail.com,83,A,Strength,No Course Required,,,First Attempt,High Performer
Python,C101,2,Harini 96,harini96@gmail.com,87,A,Strength,No Course Required,83.0,4.0,Improving,High Performer
SQL,C102,1,Harini 96,harini96@gmail.com,63,C,Average,No Course Required,,,First Attempt,Medium Performer
SQL,C102,2,Harini 96,harini96@gmail.com,78,B,Strength,No Course Required,63.0,15.0,Improving,Medium Performer
SQL,C102,3,Harini 96,harini96@gmail.com,79,B,Strength,No Course Required,78.0,1.0,Improving,Medium Performer
Data Analytics,C105,1,Harini 96,harini96@gmail.com,69,C,Average,No Course Required,,,First Attempt,Medium Performer
Python,C101,1,Harish 13,harish13@gmail.com,38,F,Weakness,Python Basics and Problem Solving,,,First Attempt,Poor Performer
Java,C103,1,Harish 13,harish13@gmail.com,63,C,Average,No Course Required,,,First Attempt,Medium Performer
Java,C103,2,Harish 13,harish13@gmail.com,78,B,Strength,No Course Required,63.0,15.0,Improving,Medium Performer
Java,C103,3,Harish 13,harish13@gmail.com,85,A,Strength,No Course Required,78.0,7.0,Improving,High Performer
Aptitude,C104,1,Harish 13,harish13@gmail.com,58,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,2,Harish 13,harish13@gmail.com,69,C,Average,No Course Required,58.0,11.0,Improving,Medium Performer
Aptitude,C104,3,Harish 13,harish13@gmail.com,58,C,Average,No Course Required,69.0,-11.0,Declining,Medium Performer
Python,C101,1,Harish 63,harish63@gmail.com,73,B,Strength,No Course Required,,,First Attempt,Medium Performer
Python,C101,2,Harish 63,harish63@gmail.com,78,B,Strength,No Course Required,73.0,5.0,Improving,Medium Performer
SQL,C102,1,Harish 63,harish63@gmail.com,84,A,Strength,No Course Required,,,First Attempt,High Performer
Java,C103,1,Harish 63,harish63@gmail.com,82,A,Strength,No Course Required,,,First Attempt,High Performer
Python,C101,1,Ishwarya 100,ishwarya100@gmail.com,41,D,Weakness,Python Basics and Problem Solving,,,First Attempt,Poor Performer
Java,C103,1,Ishwarya 100,ishwarya100@gmail.com,41,D,Weakness,Java Programming Basics,,,First Attempt,Poor Performer
Java,C103,2,Ishwarya 100,ishwarya100@gmail.com,38,F,Weakness,Java Programming Basics,41.0,-3.0,Declining,Poor Performer
Aptitude,C104,1,Ishwarya 100,ishwarya100@gmail.com,66,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,2,Ishwarya 100,ishwarya100@gmail.com,84,A,Strength,No Course Required,66.0,18.0,Improving,High Performer
Aptitude,C104,3,Ishwarya 100,ishwarya100@gmail.com,82,A,Strength,No Course Required,84.0,-2.0,Declining,High Performer
SQL,C102,1,Ishwarya 50,ishwarya50@gmail.com,67,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,1,Ishwarya 50,ishwarya50@gmail.com,61,C,Average,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,1,Ishwarya 50,ishwarya50@gmail.com,94,A,Strength,No Course Required,,,First Attempt,High Performer
Python,C101,1,Janani 32,janani32@gmail.com,41,D,Weakness,Python Basics and Problem Solving,,,First Attempt,Poor Performer
Java,C103,1,Janani 32,janani32@gmail.com,30,F,Weakness,Java Programming Basics,,,First Attempt,Poor Performer
Java,C103,2,Janani 32,janani32@gmail.com,25,F,Weakness,Java Programming Basics,30.0,-5.0,Declining,Poor Performer
Aptitude,C104,1,Janani 32,janani32@gmail.com,79,B,Strength,No Course Required,,,First Attempt,Medium Performer
Python,C101,1,Janani 82,janani82@gmail.com,31,F,Weakness,Python Basics and Problem Solving,,,First Attempt,Poor Performer
Aptitude,C104,1,Janani 82,janani82@gmail.com,71,B,Strength,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,1,Janani 82,janani82@gmail.com,88,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,2,Janani 82,janani82@gmail.com,100,A,Strength,No Course Required,88.0,12.0,Improving,High Performer
SQL,C102,1,Karthik 3,karthik3@gmail.com,25,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
Java,C103,1,Karthik 3,karthik3@gmail.com,60,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,1,Karthik 3,karthik3@gmail.com,45,D,Weakness,Quantitative Aptitude Practice,,,First Attempt,Poor Performer
Aptitude,C104,2,Karthik 3,karthik3@gmail.com,62,C,Average,No Course Required,45.0,17.0,Improving,Medium Performer
SQL,C102,1,Karthik 53,karthik53@gmail.com,80,A,Strength,No Course Required,,,First Attempt,High Performer
Java,C103,1,Karthik 53,karthik53@gmail.com,78,B,Strength,No Course Required,,,First Attempt,Medium Performer
Java,C103,2,Karthik 53,karthik53@gmail.com,90,A,Strength,No Course Required,78.0,12.0,Improving,High Performer
Java,C103,3,Karthik 53,karthik53@gmail.com,100,A,Strength,No Course Required,90.0,10.0,Improving,High Performer
Data Analytics,C105,1,Karthik 53,karthik53@gmail.com,53,C,Average,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,2,Karthik 53,karthik53@gmail.com,63,C,Average,No Course Required,53.0,10.0,Improving,Medium Performer
Python,C101,1,Kavya 26,kavya26@gmail.com,55,C,Average,No Course Required,,,First Attempt,Medium Performer
Python,C101,2,Kavya 26,kavya26@gmail.com,62,C,Average,No Course Required,55.0,7.0,Improving,Medium Performer
SQL,C102,1,Kavya 26,kavya26@gmail.com,56,C,Average,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,1,Kavya 26,kavya26@gmail.com,30,F,Weakness,Data Analytics Fundamentals,,,First Attempt,Poor Performer
Data Analytics,C105,2,Kavya 26,kavya26@gmail.com,44,D,Weakness,Data Analytics Fundamentals,30.0,14.0,Improving,Poor Performer
SQL,C102,1,Kavya 76,kavya76@gmail.com,59,C,Average,No Course Required,,,First Attempt,Medium Performer
SQL,C102,2,Kavya 76,kavya76@gmail.com,58,C,Average,No Course Required,59.0,-1.0,Declining,Medium Performer
Aptitude,C104,1,Kavya 76,kavya76@gmail.com,46,D,Weakness,Quantitative Aptitude Practice,,,First Attempt,Poor Performer
Data Analytics,C105,1,Kavya 76,kavya76@gmail.com,53,C,Average,No Course Required,,,First Attempt,Medium Performer
Python,C101,1,Keerthana 14,keerthana14@gmail.com,66,C,Average,No Course Required,,,First Attempt,Medium Performer
Python,C101,2,Keerthana 14,keerthana14@gmail.com,76,B,Strength,No Course Required,66.0,10.0,Improving,Medium Performer
Python,C101,3,Keerthana 14,keerthana14@gmail.com,56,C,Average,No Course Required,76.0,-20.0,Declining,Medium Performer
SQL,C102,1,Keerthana 14,keerthana14@gmail.com,92,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,1,Keerthana 14,keerthana14@gmail.com,45,D,Weakness,Data Analytics Fundamentals,,,First Attempt,Poor Performer
Python,C101,1,Keerthana 64,keerthana64@gmail.com,52,C,Average,No Course Required,,,First Attempt,Medium Performer
SQL,C102,1,Keerthana 64,keerthana64@gmail.com,60,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,1,Keerthana 64,keerthana64@gmail.com,58,C,Average,No Course Required,,,First Attempt,Medium Performer
SQL,C102,1,Kishore 41,kishore41@gmail.com,67,C,Average,No Course Required,,,First Attempt,Medium Performer
Java,C103,1,Kishore 41,kishore41@gmail.com,40,D,Weakness,Java Programming Basics,,,First Attempt,Poor Performer
Java,C103,2,Kishore 41,kishore41@gmail.com,58,C,Average,No Course Required,40.0,18.0,Improving,Medium Performer
Data Analytics,C105,1,Kishore 41,kishore41@gmail.com,89,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,2,Kishore 41,kishore41@gmail.com,93,A,Strength,No Course Required,89.0,4.0,Improving,High Performer
Data Analytics,C105,3,Kishore 41,kishore41@gmail.com,100,A,Strength,No Course Required,93.0,7.0,Improving,High Performer
Java,C103,1,Kishore 91,kishore91@gmail.com,67,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,1,Kishore 91,kishore91@gmail.com,93,A,Strength,No Course Required,,,First Attempt,High Performer
Aptitude,C104,2,Kishore 91,kishore91@gmail.com,100,A,Strength,No Course Required,93.0,7.0,Improving,High Performer
Aptitude,C104,3,Kishore 91,kishore91@gmail.com,100,A,Strength,No Course Required,100.0,0.0,No Change,High Performer
Data Analytics,C105,1,Kishore 91,kishore91@gmail.com,87,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,2,Kishore 91,kishore91@gmail.com,99,A,Strength,No Course Required,87.0,12.0,Improving,High Performer
SQL,C102,1,Lakshmi 24,lakshmi24@gmail.com,32,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
Java,C103,1,Lakshmi 24,lakshmi24@gmail.com,62,C,Average,No Course Required,,,First Attempt,Medium Performer
Aptitude,C104,1,Lakshmi 24,lakshmi24@gmail.com,87,A,Strength,No Course Required,,,First Attempt,High Performer
SQL,C102,1,Lakshmi 74,lakshmi74@gmail.com,55,C,Average,No Course Required,,,First Attempt,Medium Performer
Java,C103,1,Lakshmi 74,lakshmi74@gmail.com,34,F,Weakness,Java Programming Basics,,,First Attempt,Poor Performer
Aptitude,C104,1,Lakshmi 74,lakshmi74@gmail.com,77,B,Strength,No Course Required,,,First Attempt,Medium Performer
SQL,C102,1,Lokesh 43,lokesh43@gmail.com,66,C,Average,No Course Required,,,First Attempt,Medium Performer
Java,C103,1,Lokesh 43,lokesh43@gmail.com,51,C,Average,No Course Required,,,First Attempt,Medium Performer
Data Analytics,C105,1,Lokesh 43,lokesh43@gmail.com,25,F,Weakness,Data Analytics Fundamentals,,,First Attempt,Poor Performer
Python,C101,1,Lokesh 93,lokesh93@gmail.com,56,C,Average,No Course Required,,,First Attempt,Medium Performer
SQL,C102,1,Lokesh 93,lokesh93@gmail.com,32,F,Weakness,SQL Fundamentals and Query Practice,,,First Attempt,Poor Performer
Java,C103,1,Lokesh 93,lokesh93@gmail.com,72,B,Strength,No Course Required,,,First Attempt,Medium Performer
Python,C101,1,Madhan 39,madhan39@gmail.com,58,C,Average,No Course Required,,,First Attempt,Medium Performer
Python,C101,2,Madhan 39,madhan39@gmail.com,54,C,Average,No Course Required,58.0,-4.0,Declining,Medium Performer
Java,C103,1,Madhan 39,madhan39@gmail.com,80,A,Strength,No Course Required,,,First Attempt,High Performer
Data Analytics,C105,1,Madhan 39,madhan39@gmail.com,65,C,Average,No Course Required,,,First Attempt,Medium Performer
Java,C103,1,Madhan 89,madhan89@gmail.com,37,F,Weakness,Java Programming Basics,,,First Attempt,Poor Performer
